filename,size
sound1.mp3,26007
sound3.flac,145663
sound2.mp3,4146596
f1 sound1.wav,84068
f1 sound2.flac,3557
f1 f1 sound1.mp3,4217818
f1 f1 sound2.mp3,707221
f1 f3 audio1.wav,62587826
f2 sound2.mp3,5737831
f2 sound1.mp3,3670770
sound4.wav,64062
phenylacetate DIST AND COMPRESSOR RERELASASE.mp3,7398196
lorem ipsum.wav,707564
Kick_1.wav,21884
Tonal_Snare_F.wav,392146
211114_Snare_3.wav,92868
Snow Samples.aif,37044570
Snare_2.wav,40088
Another_SN_01.wav,369334
Snare_6.wav,45218
bells full reverb lowdiff transient.flac,24374559
q2eqws.wav,5560170
211109_Snare_5.wav,100859
Fade-in reverbed melody.wav,3081120
Microwave Sound Effect.mp3,869956
Snare_5.wav,40256
idkman.wav,23884
Tonal_Snare_G.wav,122646
bells full autom.flac,24151604
Snare_3.wav,33962
Full piano.flac,6364376
211114_Snare_2.wav,92868
Burning Embers4.wav,63587434
SN_DnB_Short_02.wav,369334
conceivability early demo with different break dfix.wav,5529742
texture rev.flac,6342533
Another_SN_02.wav,369334
211113_Snare_4.wav,92868
Snares for export.wav,6583002
generate2.wav,64062
211109_Snare_15.wav,736250
future selves.mp3,6988211
bells full TALreverb.flac,30269848
Bee Recording Devine 96k-24bit.wav,108288730
Snare_1.wav,35174
generate3 (enhanced).wav,192070
Part1 piano no reverb.flac,3706408
211109_Snare_1.wav,100859
generate3.wav,64062
another stuff.mp3,5169137
hh open hq jazz #1.wav,55446
snare side hq jazz #5.wav,18032
VRZ Full Strings Vibrato (14).wav,79850
Close Grand 79.wav,52272
Close Grand 41.wav,190440
Close Grand 75.wav,61794
crash 1 v9 rr1.wav,162806
snare side hq jazz #2.wav,11404
Close Grand 74.wav,79530
Close Grand 50.wav,185190
crash hq jazz #6.wav,58624
Close Grand 30.wav,203220
kick 1 v12 rr1.wav,15422
Close Grand 17.wav,203234
ride hq jazz #5.wav,61374
hihat 3 v12 rr1.wav,21260
Close Grand 69.wav,103040
hihat 3 v9 rr1.wav,18716
VRZ Full Strings Vibrato (3).wav,34720
snare hit hq jazz #8.wav,30724
hh closed hq jazz #5.wav,12354
FL Piano (19).wav,141976
kick 1 hq jazz #1.wav,22582
Close Grand 28.wav,202838
tom 3 hq jazz #8.wav,50142
tom 4 hq jazz #6.wav,50548
hh open hq jazz #5.wav,55158
Close Grand 87.wav,31918
tom 1 hq jazz #5.wav,46656
tom 2 hq jazz #6.wav,47924
crash 1 v8 rr1.wav,174082
Close Grand 32.wav,175726
snare 1 rim v7 rr1.wav,7222
Close Grand 7.wav,183340
FL Piano (20).wav,125640
Close Grand 80.wav,69648
kick 1 hq jazz #3.wav,34122
poop.wav,6157702
snare hit hq jazz #7.wav,32056
JC Cymbal (2).wav,983084
VRZ Full Strings Vibrato (12).wav,81330
VRZ Full Strings Vibrato (16).wav,74912
Close Grand 24.wav,202612
Close Grand 52.wav,154220
tom 3 hq jazz #4.wav,49604
crash hq jazz #5.wav,58744
ride 2 v8 rr1.wav,160832
hh open hq jazz #2.wav,56012
snare side hq jazz #4.wav,13526
hh closed hq jazz #6.wav,17956
Close Grand 58.wav,136374
hh pedal hq jazz #2.wav,19112
high tom 3 v5 rr1.wav,59826
Close Grand 15.wav,191792
kick 2 hq jazz #6.wav,45152
FL Piano (31).wav,66030
tom 1 hq jazz #8.wav,46632
Close Grand 53.wav,144256
hh open hq jazz #3.wav,52932
Close Grand 20.wav,200608
JC Loop (13) [130bpm B].wav,5210672
VRZ Full Strings Vibrato (17).wav,70700
Close Grand 45.wav,205372
kirin ~.wav,42404
FL Piano (30).wav,66284
med tom 3 v3 rr1.wav,58452
kick 1 hq jazz #7.wav,39658
floor tom 3 v5 rr1.wav,57798
Close Grand 76.wav,58734
crash hq jazz #4.wav,58602
Close Grand 85.wav,38472
pedal hh 3 v6 rr1.wav,11310
hh pedal hq jazz #7.wav,18524
Close Grand 60.wav,116826
Close Grand 27.wav,214916
FL Piano (4).wav,123370
Close Grand 73.wav,84720
kick 2 hq jazz #1.wav,19446
snare side hq jazz #8.wav,23000
Cymatics - Future Bass Crash 1.wav,846764
pedal hh 3 v5 rr1.wav,11572
ride hq jazz #6.wav,60074
snare 4 v9 rr1.wav,9760
tom 2 hq jazz #5.wav,48132
hihat 3 v11 rr1.wav,21514
high tom 3 v3 rr1.wav,55838
FL Piano (42).wav,105550
Close Grand 3.wav,146678
VRZ Full Strings Vibrato (18).wav,73366
tom 1 hq jazz #7.wav,46154
hh pedal hq jazz #4.wav,19296
Close Grand 36.wav,185128
